  Frequency            , (DB(V(U1:2)/V(V3:+)))@1, (DB(V(U1:2)/V(V3:+)))@2, (DB(V(U1:2)/V(V3:+)))@3, (DB(V(U1:2)/V(V3:+)))@4, (P(V(U1:2)))@1       , (P(V(U1:2)))@2       , (P(V(U1:2)))@3       , (P(V(U1:2)))@4       
  1.333521432163e+003  ,-1.065363783866e+001  ,-8.333757078277e+000  ,-6.449977024127e+000  ,-3.457911449368e+000  ,-1.145444312598e+002  ,-1.228823829743e+002  ,-1.324843856823e+002  ,-1.680797851053e+002  
  1.412537544623e+003  ,-1.137272477498e+001  ,-9.201852706722e+000  ,-7.507130794026e+000  ,-5.041871315103e+000  ,-1.175170229846e+002  ,-1.264088696870e+002  ,-1.362531951057e+002  ,-1.695085170955e+002  
  1.496235656094e+003  ,-1.211451764638e+001  ,-1.009429449799e+001  ,-8.576586360166e+000  ,-6.534511158741e+000  ,-1.204122063138e+002  ,-1.297270791339e+002  ,-1.396531741088e+002  ,-1.706656874444e+002  
  1.584893192461e+003  ,-1.287778756931e+001  ,-1.100706368145e+001  ,-9.652520949431e+000  ,-7.953475781297e+000  ,-1.232249101873e+002  ,-1.328413423063e+002  ,-1.427218282771e+002  ,-1.716235845680e+002  
  1.678804018123e+003  ,-1.366127242176e+001  ,-1.193664632114e+001  ,-1.073078029494e+001  ,-9.312223987652e+000  ,-1.259510230149e+002  ,-1.357588666159e+002  ,-1.454955208316e+002  ,-1.724310341454e+002  
  1.778279410039e+003  ,-1.446369646705e+001  ,-1.288002879676e+001  ,-1.180849683825e+001  ,-1.062120612189e+001  ,-1.285873653667e+002  ,-1.384887740459e+002  ,-1.480079758163e+002  ,-1.731221496295e+002  
  1.883649089490e+003  ,-1.528378795199e+001  ,-1.383466658834e+001  ,-1.288376594236e+001  ,-1.188866922385e+001  ,-1.311316456552e+002  ,-1.410413228462e+002  ,-1.502896164191e+002  ,-1.737214629158e+002  
  1.995262314969e+003  ,-1.612029441118e+001  ,-1.479843814530e+001  ,-1.395538717959e+001  ,-1.312121678175e+001  ,-1.335824027253e+002  ,-1.434273096799e+002  ,-1.523674138289e+002  ,-1.742470608154e+002  
  2.113489039837e+003  ,-1.697199555451e+001  ,-1.576959250039e+001  ,-1.502266529616e+001  ,-1.432420513700e+001  ,-1.359389391893e+002  ,-1.456576320434e+002  ,-1.542650227860e+002  ,-1.747125729860e+002  
  2.238721138568e+003  ,-1.783771373833e+001  ,-1.674669643729e+001  ,-1.608526092621e+001  ,-1.550202943673e+001  ,-1.382012490782e+002  ,-1.477429836867e+002  ,-1.560030602959e+002  ,-1.751284722817e+002  
  2.371373705662e+003  ,-1.871632211898e+001  ,-1.772858473939e+001  ,-1.714308060445e+001  ,-1.665833358410e+001  ,-1.403699429737e+002  ,-1.496936549722e+002  ,-1.575994408358e+002  ,-1.755029493267e+002  
  2.511886431510e+003  ,-1.960675065985e+001  ,-1.871431538335e+001  ,-1.819619681364e+001  ,-1.779616696706e+001  ,-1.424461733063e+002  ,-1.515194127496e+002  ,-1.590697188087e+002  ,-1.758425155073e+002  
  2.660725059799e+003  ,-2.050799021049e+001  ,-1.970313041829e+001  ,-1.924479050553e+001  ,-1.891810328628e+001  ,-1.444315620066e+002  ,-1.532294384082e+002  ,-1.604274124047e+002  ,-1.761524281663e+002  
  2.818382931264e+003  ,-2.141909490270e+001  ,-2.069442256857e+001  ,-2.028911020368e+001  ,-2.002633196366e+001  ,-1.463281322036e+002  ,-1.548323071061e+002  ,-1.616842970378e+002  ,-1.764369967159e+002  
  2.985382618918e+003  ,-2.233918311714e+001  ,-2.168770719742e+001  ,-2.132944322507e+001  ,-2.112272942216e+001  ,-1.481382452242e+002  ,-1.563359951705e+002  ,-1.628506645518e+002  ,-1.766998073995e+002  
  3.162277660168e+003  ,-2.326743726876e+001  ,-2.268259907030e+001  ,-2.236609569882e+001  ,-2.220891539021e+001  ,-1.498645437570e+002  ,-1.577479060385e+002  ,-1.639355487499e+002  ,-1.769438915428e+002  
  3.349654391578e+003  ,-2.420310264490e+001  ,-2.367879328709e+001  ,-2.339937893724e+001  ,-2.328629792833e+001  ,-1.515099017299e+002  ,-1.590749078219e+002  ,-1.649469199699e+002  ,-1.771718540132e+002  
  3.548133892336e+003  ,-2.514548550845e+001  ,-2.467604975824e+001  ,-2.442960037338e+001  ,-2.435610986976e+001  ,-1.530773811988e+002  ,-1.603233776910e+002  ,-1.658918523546e+002  ,-1.773859733971e+002  
  3.758374042884e+003  ,-2.609395065394e+001  ,-2.567418064687e+001  ,-2.545705776546e+001  ,-2.541943866200e+001  ,-1.545701963662e+002  ,-1.614992498625e+002  ,-1.667766676913e+002  ,-1.775882819887e+002  
  3.981071705535e+003  ,-2.704791857806e+001  ,-2.667304026378e+001  ,-2.648203572619e+001  ,-2.647725109514e+001  ,-1.559916847261e+002  ,-1.626080651617e+002  ,-1.676070595773e+002  ,-1.777806314244e+002  
  4.216965034286e+003  ,-2.800686240021e+001  ,-2.767251697319e+001  ,-2.750480389454e+001  ,-2.753041404288e+001  ,-1.573452852694e+002  ,-1.636550209960e+002  ,-1.683882013820e+002  ,-1.779647482764e+002  
  4.466835921510e+003  ,-2.897030464314e+001  ,-2.867252673400e+001  ,-2.852561625627e+001  ,-2.857971208042e+001  ,-1.586345236663e+002  ,-1.646450212114e+002  ,-1.691248411455e+002  ,-1.781422829065e+002  
  4.731512589615e+003  ,-2.993781396108e+001  ,-2.967300796320e+001  ,-2.954471125578e+001  ,-2.962586265088e+001  ,-1.598630043669e+002  ,-1.655827257669e+002  ,-1.698213862290e+002  ,-1.783148542036e+002  
  5.011872336273e+003  ,-3.090900188036e+001  ,-3.067391746021e+001  ,-3.056231243994e+001  ,-3.066952930938e+001  ,-1.610344096247e+002  ,-1.664726005061e+002  ,-1.704819802500e+002  ,-1.784840923963e+002  
  5.308844442310e+003  ,-3.188351959816e+001  ,-3.167522717508e+001  ,-3.157862944375e+001  ,-3.171133346678e+001  ,-1.621525055404e+002  ,-1.673189675746e+002  ,-1.711105746070e+002  ,-1.786516818825e+002  
  5.623413251903e+003  ,-3.286105486609e+001  ,-3.267692163835e+001  ,-3.259385917652e+001  ,-3.275186497393e+001  ,-1.632211553480e+002  ,-1.681260572510e+002  ,-1.717109967308e+002  ,-1.788194059049e+002  
  5.956621435290e+003  ,-3.384132896688e+001  ,-3.367899589675e+001  ,-3.360818709927e+001  ,-3.379169182484e+001  ,-1.642443403183e+002  ,-1.688980621512e+002  ,-1.722870170974e+002  ,-1.789891949155e+002  
  6.309573444802e+003  ,-3.482409377408e+001  ,-3.468145381659e+001  ,-3.462178850270e+001  ,-3.483136920680e+001  ,-1.652261888357e+002  ,-1.696391949588e+002  ,-1.728424169970e+002  ,-1.791631805930e+002  
  6.683439175686e+003  ,-3.580912886364e+001  ,-3.568430662591e+001  ,-3.563482970308e+001  ,-3.587144808425e+001  ,-1.661710144183e+002  ,-1.703537510293e+002  ,-1.733810590798e+002  ,-1.793437577192e+002  
  7.079457843841e+003  ,-3.679623862204e+001  ,-3.668757156556e+001  ,-3.664746906908e+001  ,-3.691248346465e+001  ,-1.670833636958e+002  ,-1.710461774370e+002  ,-1.739069627922e+002  ,-1.795336564813e+002  
  7.498942093325e+003  ,-3.778524926497e+001  ,-3.769127050781e+001  ,-3.765985777752e+001  ,-3.795504245533e+001  ,-1.679680756428e+002  ,-1.717211502856e+002  ,-1.744243869741e+002  ,-1.797360282895e+002  
  7.943282347243e+003  ,-3.877600564030e+001  ,-3.869542837539e+001  ,-3.867214016596e+001  ,-3.899971217378e+001  ,-1.688303536890e+002  ,-1.723836623958e+002  ,-1.749379221264e+002  ,-1.799545488899e+002  
  8.413951416452e+003  ,-3.976836763427e+001  ,-3.970007115035e+001  ,-3.968445350161e+001  ,-4.004710751204e+001  ,-1.696758526958e+002  ,-1.730391238294e+002  ,-1.754525951611e+002  ,-1.801935488110e+002  
  8.912509381337e+003  ,-4.076220592442e+001  ,-4.070522319446e+001  ,-4.069692691379e+001  ,-4.109787866707e+001  ,-1.705107831997e+002  ,-1.736934781004e+002  ,-1.759739898372e+002  ,-1.804581451772e+002  
  9.440608762859e+003  ,-4.175739671746e+001  ,-4.171090350243e+001  ,-4.170967913023e+001  ,-4.215271821484e+001  ,-1.713420357757e+002  ,-1.743533373775e+002  ,-1.765083865478e+002  ,-1.807544622247e+002  
  1.000000000000e+004  ,-4.275381496193e+001  ,-4.271712036298e+001  ,-4.272281450309e+001  ,-4.321236729969e+001  ,-1.721773288504e+002  ,-1.750261404628e+002  ,-1.770629256530e+002  ,-1.810898438213e+002  
  1.059253725177e+004  ,-4.375132531782e+001  ,-4.372386369256e+001  ,-4.373641659009e+001  ,-4.427762018724e+001  ,-1.730253837608e+002  ,-1.757203378329e+002  ,-1.776457991193e+002  ,-1.814731501777e+002  
  1.122018454302e+004  ,-4.474976987345e+001  ,-4.473109400825e+001  ,-4.475053824039e+001  ,-4.534932592205e+001  ,-1.738961312383e+002  ,-1.764456084594e+002  ,-1.782664757664e+002  ,-1.819151227788e+002  
  1.188502227437e+004  ,-4.574895119209e+001  ,-4.573872658420e+001  ,-4.576518668858e+001  ,-4.642838502986e+001  ,-1.748009536726e+002  ,-1.772131133731e+002  ,-1.789359658037e+002  ,-1.824288432626e+002  
  1.258925411794e+004  ,-4.674860870424e+001  ,-4.674660874577e+001  ,-4.678030152992e+001  ,-4.751573793702e+001  ,-1.757529672329e+002  ,-1.780357907536e+002  ,-1.796671303303e+002  ,-1.830303121326e+002  
  1.333521432163e+004  ,-4.774838568363e+001  ,-4.775448743759e+001  ,-4.779572257164e+001  ,-4.861233977170e+001  ,-1.767673467887e+002  ,-1.789286962998e+002  ,-1.804750459583e+002  ,-1.837391795293e+002  
  1.412537544623e+004  ,-4.874778299273e+001  ,-4.876196308740e+001  ,-4.881114334420e+001  ,-4.971911303207e+001  ,-1.778616938733e+002  ,-1.799093900284e+002  ,-1.813773950653e+002  ,-1.845796667427e+002  
  1.496235656094e+004  ,-4.974609439759e+001  ,-4.976842430421e+001  ,-4.982604442710e+001  ,-5.083686458879e+001  ,-1.790564424990e+002  ,-1.809983705629e+002  ,-1.823949585569e+002  ,-1.855817216428e+002  
  1.584893192461e+004  ,-5.074231649917e+001  ,-5.077295605266e+001  ,-5.083959862507e+001  ,-5.196614564229e+001  ,-1.803752928849e+002  ,-1.822195105242e+002  ,-1.835520914813e+002  ,-1.867824487659e+002  
  1.678804018123e+004  ,-5.173502426915e+001  ,-5.177421167809e+001  ,-5.185053744268e+001  ,-5.310702120879e+001  ,-1.818456082529e+002  ,-1.836005400697e+002  ,-1.848772289638e+002  ,-1.882278343936e+002  
  1.778279410039e+004  ,-5.272220109030e+001  ,-5.277023679035e+001  ,-5.285696550140e+001  ,-5.425869788838e+001  ,-1.834987918099e+002  ,-1.851734083969e+002  ,-1.864033251464e+002  ,-1.899747255300e+002  
  1.883649089490e+004  ,-5.370101083003e+001  ,-5.375823131311e+001  ,-5.385610731272e+001  ,-5.541893419924e+001  ,-1.853704271181e+002  ,-1.869744884901e+002  ,-1.881681100637e+002  ,-1.920928733621e+002  
  1.995262314969e+004  ,-5.466750045579e+001  ,-5.473423669917e+001  ,-5.484397103062e+001  ,-5.658312943713e+001  ,-1.875000784502e+002  ,-1.890444005374e+002  ,-1.902139576091e+002  ,-1.946665319652e+002  
